id,Parent Sector (1),Parent Sector (2),Sub Sector (1),Sub Sector (2),Sub Sector (3),name,slug,website,repository,organizations,origins,Comments,Notes,Comments
540,Social Development and Education,,Civil Society ,,,CiviCRM,civicrm,civicrm.org,https://github.com/civicrm/civicrm-core/,CiviCRM LLC,Digital Public Goods Alliance,,,
461,Social Development and Education,,Education and Youth,,,CK-12,ck12,www.ck12info.org,,CK-12,Digital Public Goods Alliance,,,
564,Environment and Climate ,,Environment and policy,,,ClimateMachine,climatemachine,clima.github.io/ClimateMachine.jl/latest,https://github.com/CliMA/ClimateMachine.jl,CliMA,Digital Public Goods Alliance,,,
374,Environment and Climate ,,Environment and policy,,,ClimateWatch,climatewatch,www.climatewatchdata.org,https://github.com/Vizzuality/climate-watch,Global Forest Watch,Digital Public Goods Alliance,,,
510,Social Development and Education,,Education and Youth,,,CNB Guatemala,cnb_guatemala,cnbGuatemala.org,,Online Learning Initiative,Digital Public Goods Alliance,,,
169,Social Development and Education,,Civil Society ,,,Code for America API,code_for_america_api,codeforamerica.org/api,https://github.com/codeforamerica/cfapi,Code for America,Digital Public Goods Alliance,,,
328,Social Development and Education,,Civil Society ,,,Code for America Brigade Website,code_for_america_brigade_website,brigade.codeforamerica.org,https://github.com/codeforamerica/brigade,Code for America,Digital Public Goods Alliance,,,
434,State and Democracy (Good Governance),,,,,code.etalab.gouv.fr,codeetalabgouvfr,code.etalab.gouv.fr,https://github.com/etalab/code.etalab.gouv.fr,etalab,Digital Public Goods Alliance,,,
218,Social Development and Education,,Education and Youth,,,Code.org,codeorg,code.org,https://github.com/code-dot-org/code-dot-org,Code.org,Digital Public Goods Alliance,,,
565,Environment and Climate ,,Environment and policy,,,Codecarbon,codecarbon,mlco2.github.io/codecarbon,https://github.com/mlco2/codecarbon,mlco2,Digital Public Goods Alliance,,,
202,Social Development and Education,,Civil Society,Youth,,Coinsence,coinsence,coinsence.org,https://github.com/coinsence/coinsence-monorepo,United Nations Children’s Fund (UNICEF),Digital Public Goods Alliance,,,
